AA Propensity
ALA 0.08283443064856512
VAL 0.06987127793990372
ILE 0.05668400658005273
LEU 0.09337332232130229
MET 0.017608225833646084
PHE 0.04084953665904939
TYR 0.03600632965402754
TRP 0.014649210018664743
CYS 0.012891104025011523
GLY 0.07199671410757517
PRO 0.0464584085685964
SER 0.060763615650982004
THR 0.05508623843566953
ASN 0.043589748889667775
GLN 0.03770035956427082
ARG 0.052118364175977136
HIS 0.023776951448931508
LYS 0.05698785123364177
ASP 0.05996133584165117
GLU 0.06679296840281355
