AA Propensity
ILE 0.06206845196063075
VAL 0.07261690474295207
LEU 0.10756443209626106
PHE 0.05344070090206219
CYS 0.014371881748454836
MET 0.022968819410385654
ALA 0.08006347559707376
GLY 0.07231647412573407
THR 0.05697397038319026
SER 0.06496747902763192
TRP 0.018228691894279236
TYR 0.03946425774379174
PRO 0.04246342834986558
HIS 0.02027264720458298
GLN 0.036246825578200546
ASN 0.04272791000433955
GLU 0.04999473604474105
ASP 0.04811768663289176
LYS 0.049080605277821286
ARG 0.046050621275109706
